,0,1,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,39,40,41,42,43,45,46,47,49,50,52,53,54,55,56,57,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,137,138,139,140,141,142,143,144,145,147,148,149,150,151,152,153,154,155,157,158,159,160,161,163,164,165,166,167,168,169,170,171,172,173,174,175,176,179
1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,,,,,,,,,,3.63,,,,,,,,,,3.53,,3.4,3.36,3.34,3.32,,,,,,,,,,2.98,,,,,,,,,,,,,,,,1.69,1.64,1.58,1.52,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,,4.03,4.03,,,,,,,,,,3.98,,3.93,3.91,3.89,3.87,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.02,,,0.1,0.14,0.01,,0.02,,,0.4,,0.52,,0.06,0.08,,1.17,,1.43,,,0.17,,2.23,2.24,,,,2.73,0.26,,3.15,3.33,,0.31,,,3.8,0.35,,,4.15,,4.26,0.39,0.0,,,4.54,1.34,0.41,,1.79,4.77,,,4.81,,3.13,4.89,,4.93,,4.14,4.47,4.46,5.01,,,5.03,,,,5.01,,5.1,,5.08,,,,5.31,,5.36,,,,5.45,0.46,,,5.03,,5.5,,,,5.53,,5.08,5.04,5.52,4.97,0.44,4.92,4.87,5.5,,4.81,4.79,,,5.45,,0.41,,,,5.27,,4.34,,0.38,5.01,,,,,,0.34,,4.56,,,0.3,,4.14,,3.08,,,3.65,,2.52,,,,,2.98,,1.72,,,2.38,,1.1,,,,,1.51
6,0.02,0.04,0.06,0.1,0.15,0.17,0.2,0.2,0.3,0.34,0.43,0.43,0.56,0.63,0.78,1.0,1.05,1.33,1.56,1.56,1.86,1.86,2.15,2.15,2.43,2.43,2.7,2.59,,2.95,3.21,,3.39,3.56,,3.73,3.76,3.89,4.04,4.03,4.16,4.27,4.39,4.5,4.38,4.61,4.49,,4.69,4.77,4.72,4.85,,4.92,4.96,4.87,,5.05,,5.09,5.13,,5.18,,5.22,,5.24,5.12,5.26,,5.28,5.16,5.3,,5.32,,5.33,,5.35,,5.39,,5.47,,5.54,5.49,5.6,,5.67,5.58,5.71,,5.74,,5.76,,5.79,,5.83,,5.83,5.78,5.82,,5.64,5.69,5.18,5.82,,5.63,,5.8,,5.78,,5.73,,5.67,,5.61,,5.53,,5.46,5.35,,5.25,,5.14,,5.02,,4.9,4.76,,4.62,,4.47,,4.3,,4.13,3.97,,3.81,3.44,3.64,3.45,,3.26,,3.05,,2.84,2.61,2.46,2.37,2.22,,2.12,1.9,1.67
7,0.02,,0.06,0.1,0.16,0.16,0.23,0.23,0.33,,0.47,0.47,0.61,,0.86,1.1,,1.4,1.74,1.74,2.09,2.09,2.4,2.4,2.71,2.71,3.0,3.0,,3.27,3.54,,3.72,3.9,,4.07,4.22,4.22,4.38,4.49,4.5,4.61,4.72,1.29,4.83,,4.94,,5.02,5.1,5.17,,,5.25,5.32,,,5.37,,2.72,5.46,,5.5,,5.54,,5.57,5.59,,,5.61,5.63,,,5.65,,5.67,,5.69,,5.71,,5.73,,5.75,5.84,,,5.92,5.98,,,6.02,,6.06,,6.1,,6.13,,5.66,,5.63,,6.15,,6.16,6.17,,6.16,,6.14,,6.12,,6.07,,6.02,,5.95,,5.88,,5.8,5.7,,5.59,,5.48,,5.36,,5.23,5.09,,4.95,,4.79,,4.62,,4.45,4.28,,4.11,3.93,,3.73,,3.53,,3.3,,3.08,,2.83,,2.57,,2.32,2.07,1.83
8,0.02,,0.04,0.1,0.09,0.09,0.25,0.12,0.37,,0.52,0.25,0.32,,0.95,1.22,,1.56,1.97,0.88,1.03,1.03,1.2,1.2,3.07,3.07,1.53,1.53,,3.67,3.96,,4.14,2.08,,4.9,5.06,2.29,2.4,4.92,4.92,2.55,2.63,5.25,5.25,2.79,,,5.44,5.51,,2.95,,3.0,5.74,5.74,,3.08,,5.84,5.88,,3.39,,5.96,,4.17,,4.5,,6.04,2.34,4.99,,6.1,,6.12,,6.14,,6.16,,3.29,,6.2,,3.29,,6.2,6.37,6.37,,6.43,,6.49,,6.19,,6.58,,6.61,,6.14,,6.63,,6.65,6.83,,6.66,,5.92,,6.62,,5.86,,6.52,,5.6,,6.39,,1.94,6.21,,1.84,,5.99,,5.86,,5.73,4.51,,5.57,,5.28,,5.1,,1.32,,,4.58,,1.03,,,3.94,,,,2.16,3.17,,,,,0.38,2.34,0.85
9,0.02,,0.06,0.1,0.2,0.2,0.31,0.31,0.46,,0.64,0.64,0.82,,1.15,1.48,,1.91,2.45,2.45,2.99,2.99,3.4,3.4,3.81,3.81,4.18,4.18,,4.51,4.84,,5.03,5.22,,5.4,5.54,5.55,5.71,5.81,5.83,5.94,6.05,6.15,6.14,6.25,6.24,,6.33,6.41,6.47,6.48,,6.56,6.61,6.63,,6.69,,6.75,6.8,,6.84,,6.88,3.79,6.92,6.94,6.96,,7.0,7.01,7.03,,7.07,,7.11,,7.14,6.99,7.17,,7.19,,7.21,6.76,7.23,,7.24,,7.26,,7.29,,7.4,,7.47,,7.54,7.46,7.6,,7.63,,7.67,,7.7,7.74,,7.15,,7.72,,7.7,,7.66,,7.62,,7.56,,7.5,,7.44,7.33,,7.23,,7.11,,6.97,,6.83,6.67,,6.51,,6.34,,6.15,,5.97,5.77,,5.57,,5.35,5.09,,4.84,,4.53,,4.22,3.9,,3.59,,,3.27,2.93,2.58
